Player_ID,MP,Goals,Assists,Yellow Cards,Red Cards,Competition ID,Season
30,2,0,0,0,0,5,Winter 2022
30,1,0,0,0,0,5,Summer 2022
31,9,0,1,4,1,3,Spring 2021
31,8,0,0,1,0,3,Fall 2021
31,3,0,0,0,0,3,Spring 2022
31,1,0,0,0,0,4,Spring 2021
31,1,1,0,1,0,1,2021-22
32,11,3,5,0,0,1,2021-22
32,7,2,3,0,0,6,Summer 2022
32,4,0,0,0,0,5,Summer 2022
32,1,0,0,0,0,5,Winter 2022
33,11,0,1,1,0,3,Spring 2022
33,8,0,1,0,0,3,Fall 2021
33,1,0,0,0,0,3,Spring 2021
33,1,0,2,0,0,1,2021-22
34,11,3,0,2,0,3,Spring 2022
34,5,5,4,1,0,1,2021-22
34,2,1,0,0,0,5,Winter 2022
34,2,6,2,0,0,1,2019-20
35,12,2,0,0,0,4,Spring 2021
35,4,2,0,0,0,3,Fall 2020
35,2,0,0,0,0,3,Spring 2021
35,2,0,0,0,0,1,2021-22
36,9,0,2,1,0,1,2021-22
36,6,1,2,1,0,6,Summer 2022
36,5,0,0,0,0,4,Spring 2021
37,13,0,1,3,0,4,Spring 2021
37,5,1,0,0,0,1,2021-22
37,1,0,0,0,0,6,Summer 2022
37,1,0,0,0,0,3,Spring 2021
38,17,0,0,0,0,1,2018-19
38,3,0,0,0,0,1,2019-20
39,12,0,0,1,0,3,Spring 2022
39,4,0,0,0,0,5,Summer 2022
39,4,0,0,0,0,1,2021-22
39,1,0,0,0,0,5,Winter 2022
40,7,0,0,0,1,4,Spring 2021
40,7,0,1,0,0,3,Spring 2021
40,5,0,0,1,0,1,2021-22
41,15,13,3,3,1,1,2018-19
41,3,2,0,0,0,1,2019-20
42,11,0,0,1,1,3,Spring 2021
42,7,1,1,0,0,4,Spring 2021
43,9,0,0,0,0,1,2021-22
43,8,0,0,0,0,3,Spring 2022
43,1,0,0,0,0,6,Summer 2022
44,9,0,0,0,0,3,Spring 2021
44,8,3,0,0,0,4,Spring 2021
45,17,3,0,1,0,1,2018-19
46,14,1,0,1,0,1,2021-22
46,3,0,0,0,0,6,Summer 2022
47,8,0,0,1,0,4,Spring 2021
47,7,0,0,0,0,3,Fall 2020
47,2,0,0,0,0,3,Spring 2021
48,12,0,0,1,0,3,Spring 2022
48,3,0,0,0,0,5,Winter 2022
48,1,0,0,0,0,6,Summer 2022
48,1,0,0,1,0,3,Fall 2021
49,16,0,2,1,1,1,2018-19
50,8,0,0,1,0,1,2021-22
50,4,0,0,0,0,6,Summer 2022
50,3,0,0,0,0,3,Spring 2022
50,2,0,0,0,0,6,Summer 2022
51,9,0,0,0,0,3,Fall 2020
51,5,0,0,0,0,4,Spring 2021
51,2,0,0,1,0,3,Spring 2021
52,13,0,0,1,1,4,Spring 2021
52,3,0,0,0,0,3,Spring 2021
53,8,0,1,1,0,3,Spring 2022
53,6,7,2,1,0,1,2021-22
53,1,0,0,0,0,5,Winter 2022
54,13,2,2,0,1,1,2021-22
54,2,0,0,0,0,5,Winter 2022
55,11,0,0,2,0,3,Spring 2022
55,3,0,0,0,0,1,2021-22
55,1,0,0,0,0,6,Summer 2022
56,10,0,0,0,0,3,Spring 2022
56,2,0,0,0,0,5,Summer 2022
56,1,0,0,0,0,6,Summer 2022
56,1,0,0,0,0,1,2021-22
57,14,0,0,1,0,1,2018-19
58,13,4,4,1,0,3,Fall 2020
59,8,3,0,0,0,1,2021-22
59,3,0,0,0,0,5,Winter 2022
59,2,0,0,0,0,3,Spring 2022
60,9,0,1,0,0,1,2018-19
60,4,0,1,0,0,1,2019-20
61,8,4,1,1,0,1,2021-22
61,4,0,0,0,0,3,Fall 2021
62,7,1,1,1,0,1,2021-22
62,4,0,0,0,0,3,Spring 2022
62,1,0,0,0,0,6,Summer 2022
62,1,0,0,0,0,5,Summer 2022
63,9,0,0,0,0,1,2021-22
63,3,0,0,0,0,6,Summer 2022
