ID,DATE,RESULT,POTROS GOALS,OPPONENT GOALS,OPPONENT,COMPETITION
119,5/21/22,Win,3,0,Club the Stongest Atlanta,3
120,5/29/22,Loss,2,4,Seas Jamaica All Stars,3
121,5/31/22,Win,5,2,Limeño Georgia,3
122,6/3/22,Draw,0,0,Atlanta United Academy,3
123,6/12/22,Loss,1,4,Soccer in the Streets LA Mercy,6
124,6/12/22,Loss,1,2,Terminus FC,6
125,6/12/22,Loss,1,3,Georgia FC,3
126,6/19/22,Win,2,0,Peachtree FC,6
127,6/19/22,Loss,0,2,Georgia Revolution U23,6
128,6/26/22,Loss,1,3,Terminus FC,6
129,6/26/22,Win,8,1,Historic South Atlanta,6
130,7/9/22,Win,1,0,FC Atlanta Academy,5
131,7/10/22,Win,4,1,Historic South Atlanta,6
132,7/10/22,Win,4,0,Brute Force Blue,6
133,7/16/22,Draw,2,2,Kalonji Pro-Profile U23,5
134,7/17/22,Win,4,1,Soccer in the Streets LA Mercy,6
135,7/17/22,Loss,0,5,Brute Force Blue,6
136,7/23/22,Win,2,0,Middle Georgia United,5
137,7/24/22,Win,3,0,Georgia Revolution U23,6
138,7/24/22,Win,1,0,Peachtree FC,6
139,7/30/22,Loss,1,2,Kalonji Pro-Profile,5
140,7/31/22,Loss,2,4,Terminus FC,6
