,Year,Expense Type,Competition,Expense,Amount,Date,Account,Paid
Marketing,,,,,$435.05,,,
,Spring 2022,Other,Marketing,Website,$204.00,5/10/2022,Potros FC,TRUE
,Spring 2022,Other,Marketing,Atlanta United recycling tickets,$132.10,4/10/2022,Potros FC,TRUE
,Spring 2022,Other,Marketing,Bins and scale,$98.95,4/16/2022,Potros FC,TRUE
Balance,,,,,"$4,298.83",,,
,Spring 2022,Other,Balance,2021 Balance,"$3,669.13",3/1/2022,Potros FC,TRUE
,Spring 2022,Other,Balance,Unknown,$479.70,Unknown,Potros FC,TRUE
,Spring 2022,Other,Balance,Vanessa - gas and commission,$150.00,6/17/2022,Potros FC,TRUE
Fall 2022,,,,,,,,
Registration,,,,,"$4,962.44",,,
Competition:,,,,,Sum:,,,
UPSL,,,,,"$3,802.44",,,
,Fall 2022,Registration,UPSL,Regional Cup Registration,$350.00,6/18/2022,Potros FC,TRUE
,Fall 2022,Registration,UPSL,Player registration 1,$152.44,7/9/2022,Potros FC,TRUE
,Fall 2022,Registration,UPSL,Fall - premier 1st payment ,$300.00,7/30/2022,Discover,TRUE
,Fall 2022,Registration,UPSL,Premier payment,"$2,000.00",8/1/2022,Discover,TRUE
,Fall 2022,Registration,UPSL,Division 1 ,"$1,000.00",8/4/2022,Discover,TRUE
ADASL,,,,,"$1,160.00",,,
,Fall 2022,Registration,ADASL,ADASL summer admin fees,$200.00,5/26/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Player registration 1 - PayPal,$170.00,6/10/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Player registration 2,$150.00,6/10/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Player registration 3,$250.00,6/11/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Summer registrations 4 - PayPal ,$40.00,6/17/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Summer registration 5 - PayPal,$40.00,6/24/2022,Potros FC,TRUE
,Fall 2022,Registration,ADASL,Summer registration 6,$80.00,6/24/2022,Potros FC,TRUE
